song_id,track_href,genre,song_name
3bNCifwGPjqeeqzpjrFG9k,https://api.spotify.com/v1/tracks/3bNCifwGPjqeeqzpjrFG9k,Dark Trap,Magazine
599cYawsBthDvauPoXNr7U,https://api.spotify.com/v1/tracks/599cYawsBthDvauPoXNr7U,Dark Trap,2 Hot 4 U (feat. $Uicdeboy$)
2I12vOWeJU5ayhr6ha6esf,https://api.spotify.com/v1/tracks/2I12vOWeJU5ayhr6ha6esf,Dark Trap,O Pana!
0kCfKToIFZFQQAaSQHcjRL,https://api.spotify.com/v1/tracks/0kCfKToIFZFQQAaSQHcjRL,Dark Trap,LTE
4XQDrALwqj4J1YPqg58sDV,https://api.spotify.com/v1/tracks/4XQDrALwqj4J1YPqg58sDV,Dark Trap,Champion Of Death
0AQXOzjEG2ofwGrDyqUY7H,https://api.spotify.com/v1/tracks/0AQXOzjEG2ofwGrDyqUY7H,Dark Trap,Seppuku (feat. Suicideboy$ & Jgrxxn)
3cQPyVlnrmmWU5fQJxl0q9,https://api.spotify.com/v1/tracks/3cQPyVlnrmmWU5fQJxl0q9,Dark Trap,You're Now Tuning Into 66.6 FM With DJ Rapture (The Hottest Hour Of The Evening)
2wzpr7E2FkOISAbYQOtPmZ,https://api.spotify.com/v1/tracks/2wzpr7E2FkOISAbYQOtPmZ,Dark Trap,Slip On A Banana Clip
7EnGzsqQi0bAVGQw8i4WIQ,https://api.spotify.com/v1/tracks/7EnGzsqQi0bAVGQw8i4WIQ,Dark Trap,A Death In The Ocean Would Be Beautiful
3mRBSk7h2Vr0D0yott8VhC,https://api.spotify.com/v1/tracks/3mRBSk7h2Vr0D0yott8VhC,Dark Trap,Shattered Amethyst
7ae2GdeXS5Tvo5RvdNwgaz,https://api.spotify.com/v1/tracks/7ae2GdeXS5Tvo5RvdNwgaz,Dark Trap,Goosebumps
7tUXZgLbOCvRJ9FBlairoU,https://api.spotify.com/v1/tracks/7tUXZgLbOCvRJ9FBlairoU,Dark Trap,Venom
7m1oRKYiZCfuKXRMWGefWR,https://api.spotify.com/v1/tracks/7m1oRKYiZCfuKXRMWGefWR,Dark Trap,Bury Me
1AADsJz09BwnKW4yYFQwXU,https://api.spotify.com/v1/tracks/1AADsJz09BwnKW4yYFQwXU,Dark Trap,Hack Slash
5zjdL4aLh3D3wOKeRkZSL6,https://api.spotify.com/v1/tracks/5zjdL4aLh3D3wOKeRkZSL6,Dark Trap,2000 Rounds
1e0HLyx0SlmAhwTm2un9ft,https://api.spotify.com/v1/tracks/1e0HLyx0SlmAhwTm2un9ft,Dark Trap,Sea Sick
